Actividades según jerarquía (CNAE-2009);Índice y tasas;Periodo;Total
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2019M06;101,572
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2019M05;100,141
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2019M04;95,957
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2019M03;96,742
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2019M02;87,643
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2019M01;102,724
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M12;117,447
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M11;99,241
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M10;99,435
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M09;94,906
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M08;97,793
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M07;106,717
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M06;101,519
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M05;96,978
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M04;93,926
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M03;96,670
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M02;85,964
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2018M01;101,225
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M12;117,656
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M11;97,860
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M10;94,618
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M09;98,265
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M08;97,485
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M07;107,364
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M06;100,341
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M05;96,964
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M04;93,298
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M03;95,196
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M02;84,343
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2017M01;98,645
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M12;116,186
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M11;95,113
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M10;96,554
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M09;96,639
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M08;96,498
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M07;106,863
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M06;98,024
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M05;93,782
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M04;94,560
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M03;92,757
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M02;86,972
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2016M01;98,607
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M12;114,263
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M11;91,293
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M10;95,748
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2015M09;93,274
